LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
129028,책으로만나는세상,,62248,0629549420,,광주광역시 광산구 수완로74번길 11-8 책만세도서관,bookcafesum@naver.com,,35.1920862,126.83017945
129029,장공작은도서관,,506-357,062-960-8536,062-960-8289,광주 광산구 등임동 410,iso3950@korea.kr,,,
129030,영천주공작은도서관,,506-054,062-960-8536,062-960-8289,광주 광산구 월곡동 685-1,iso3950@korea.kr,,,
129031,열린작은도서관(광주),,506-901,062-960-8536,062-960-8289,광주 광산구 신가동 1010-9,iso3950@korea.kr,,35.1821235,126.8276537
129032,수완우미린2차작은도서관,,506-304,,,광주 광산구 수완동 908번지,iso3950@korea.kr,,,
129033,새물결 작은도서관,,506-802,,,광주 광산구 소촌동 593-5,iso3950@korea.kr,,,
129034,사랑의작은도서관,,506-054,062-960-8536,062-960-8289,광주 광산구 월곡동 601-6 번지,iso3950@korea.kr,,,
129035,빛과소금작은도서관,,506-050,062-954-9595,062-954-9595,광주 광산구 우산동 1038-2 2층,"iso3950@korea.kr, cynbsc@hanmail.net",,,
129036,목련마을작은도서관,,506-782,062-453-2588,062-961-2589,광주 광산구 목련로 153번길 143,8unnam8@hanmail.net,,,
129037,첨단라인1차작은도서관,,506-771,062-960-8536,062-960-8289,광주 광산구 월계동 라인1차아파트 765-2번지,iso3950@korea.kr,,,
129038,코오롱하늘채작은도서관,,17731,031-666-5561,031-668-5564,"경기도 평택시 추담로 58-78, 코오롱하늘채움내 작은도서관 (장안동, 평택장안마을코오롱하늘채)",rlaaldhr69@naver.com,,,
129039,큰꿈작은도서관,,506-050,062-960-8536,062-960-8289,광주 광산구 우산동 1025-8,iso3950@korea.kr,,35.15100525,126.81271276492255
129040,푸른솔작은도서관,,506-307,062-960-8536,062-960-8289,광주 광산구 신가동 1010-7,iso3950@korea.kr,,35.1821235,126.8276537
129041,하남문고,,506-053,062-960-8536,062-960-8289,광주 광산구 산정동 977-5,iso3950@korea.kr,,35.1593902,126.7791532
129042,신가부영아파트 문고,,62295,062-962-0771,062-961-0772,"광주광역시 광산구 수등로 287, 도서관 (신창동, 신가부영아파트)",chl0987@hanmail.net,,,
129043,다솜작은도서관(광주 광산구),,62283,01076331532,062-462-0334,광주광역시 광산구 첨단중앙로 68번길 60 첨단3-1차 호반리젠시빌아파트 관리동 2층,hoban-2@hanmail.net,,,
129044,도깨비어린이도서관,,506-307,062-960-8536,062-960-8289,광주 광산구 신가동 1287번지 (2층),iso3950@korea.kr,http://cafe.daum.net/su-doggabi,,
129045,수완1단지 중흥 S-class 작은도서관,,506-307,062-960-8536,062-960-8289,광주 광산구 신가동 1306번지(광주광역시 광산구 수등로76번길 74 수완1단지 중흥S-클래스 관리사무소),iso3950@korea.kr,,,
129046,철쭉마을작은도서관,,506-802,062-960-8536,062-960-8289,광주 광산구 소촌동 290번지 라인아파트 관리동 내,iso3950@korea.kr,http://cafe.daum.net/sochonline,,
129047,첨단문고,,506-824,062-960-8536,062-960-8289,광주광역시 광산구 첨단내촌로 54 (월계동 812-8번지),iso3950@korea.kr,,,
129048,한울작은도서관(광주),,62358,062-951-0701,062-951-0701,"광주광역시 광산구 월곡산정로 12, 하남종합사회복지관 (우산동, 하남주공아파트 1차/2차 아파트)",hanambok@daum.net,http://www.hswc.or.kr,,
129049,꿈작은도서관,,506-307,062-960-8536,062-960-8289,광주 광산구 신가동 1064번지 휴먼아시아2단지,iso3950@korea.kr,,,
129050,수완피오레문고,,506-251,062-960-8536,062-960-8289,광주 광산구 장덕동 1686번지,iso3950@korea.kr,,,
129051,미래작은도서관(광주 광산구),,506-826,062-960-8536,062-960-8289,광주 광산구 월곡2동 507-1,iso3950@korea.kr,,,
129052,햇살도서관(광주),,506-901,062-960-8536,062-960-8289,광주 광산구 신가동 1019-1 도시공사A 단지 내,iso3950@korea.kr,,,
129053,다솜울 도서관,,61166,062-265-1052,062-266-2320,"광주광역시 북구 군왕로207번길 6, 각화종합사회복지관 (각화동)",kakhwa1052@hanmail.net,http://www.gjw.or.kr/kakhwa,,
129054,삼각동자치도서관,,500-140,062-410-8795,,광주 북구 삼각동 791-2,p790407@korea.kr,http://samgak.bukgu.gwangju.kr/,,
129055,용봉작은도서관,,61184,062-510-1349,,"광주광역시 북구 설죽로202번길 37, 용봉작은도서관 (용봉동)",serendip1009@korea.kr,,,
129056,매곡동자치도서관,,500-150,062-410-8814,,광주 북구 매곡로 65번길 25,dudtla98@korea.kr,,,
129057,신안동작은도서관(광주),,61231,062-410-8655,062-510-1526,"광주광역시 북구 자산로 66, 신안동작은도서관 (신안동)",lbg622@korea.kr,,,
129058,황계작은도서관,,500-170,062-410-8693,062-410-8693,광주 북구 운암동 1054-10,yjok21@korea.kr,,35.1795971,126.8850728
129059,송화마을7단지도서관,,503-320,062-675-9339,062-675-9020,광주광역시 남구 노대실로89(송화7단지작은도서관),hs8234@nate.com,http://cafe.daum.net/jwhumansia7,,
129060,중흥3동 자치도서관,,500-043,062-410-8624,062-510-1523,광주 북구 중흥3동 286-40,bsbsm@korea.kr,http://jungheung3.bukgu.gwangju.kr/,35.1714842,126.91706049771716
129061,중흥2동 자치도서관,,500-874,062-410-8614,,광주 북구 중흥2동 347-1,sgson1@korea.kr,,35.16990345,126.90995531563772
129062,멘토링도서관,,503-829,062-430-9016,062-366-9105,광주 남구 월산4동 953-7,neooz@naver.com,no,,
129063,우산자치도서관,,500-080,062-410-8871,062-510-1532,광주 북구 우산동 264-6,owisdom@korea.kr,,35.1647764,126.8543045
129064,운암큰꿈도서관,,500-886,062-410-8677,062-062-062,광주 북구 운암1동 841-10,choi9525@korea.kr,http://unam1.bukgu.gwangju.kr/,,
129065,풍향동자치도서관,,500-880,062-410-8727,062-510-1533,광주 북구 풍향동 597-8 풍향동주민센터,lhj5352@korea.kr,,,
129066,월산작은도서관,,503-230,062-671-5498,062-352-5498,광주 남구 월산동 974-6,ws5498@hanmail.net,,35.1295137,126.9263229
129067,사과나무작은도서관,,503-230,062-366-6301,062-366-6302,광주 남구 월산동 939-30,1969kjo@hanmail.net,,35.1295137,126.9263229
129068,고맙습니다 두암3동 작은도서관,,500-103,062-410-8866,062-510-1539,광주 북구 두암3동 249,smile3113@hanmail.net,,,
129069,두암2동 작은도서관,,500-100,062-410-8779,062-510-1538,광주 북구 두암동 825-9(두암2동주민센터),plisilla@korea.kr,,,
129070,오치2동 작은도서관,,500-130,062-410-8834,062-510-1543,광주 북구 오치동 861-58,l8949@korea.kr,,,
129071,광주광역시 북구 운암2동 자치도서관,,500-170,062-410-8685,062-510-1529,광주 북구 운암동 392-7(북구 죽봉대로 214(운암동),sanhara@korea.kr,,,
129072,일곡동자치도서관,,500-867,062-410-8804,062-510-1544,광주 북구 일곡동 849-5,ilovejuliet@korea.kr,,,
129073,용봉자치도서관,,500-070,062-410-8620,,광주 북구 용봉동 1228-7,beenigo@korea.kr,http://yong-bong.bukgu.gwangju.kr/,35.1788215,126.900505
129074,문흥2동작은도서관,,500-823,062-410-8754,062-513-1536,광주 북구 문흥2동 1010-9,sesta@korea.kr,,,
129075,중흥1동 자치도서관,,500-877,062-410-8604,062-510-1521,광주 북구 중흥동 650-7번지 중흥1동 주민센터,adagioshadow@korea.kr,,,
129076,사랑모아작은도서관,,503-829,062-434-6767,062-368-1981,광주 남구 월산4동 923-26,yas198062@naver.com,,,
129077,여우고개 어린이문고,,500-879,062-524-2076,062-524-2075,광주 북구 풍향동 370~4,sunrise3927@hanmail.net,,35.1659931,126.909777
129078,희망작은도서관(광주),,503-807,062-653-2313,062-653-2315,광주 남구 백운1동 80-1번지,ja9410@hanmail.net,http://www.hymang.com,,
129080,신일작은도서관(광주 북구),,500-170,062-512-9419,062-522-919,광주 북구 운암동 936-1,wotodtks3927@hanmail.net,http://cafe.naver.com/shinilac/,35.1773051,126.8780674
129081,산수중앙작은도서관,,501-090,062-251-6437,062-251-6438,광주 동구 산수동528-1,yangsh21@hanmail.net,http://cafe.daum.net/happygrouphome,,
129082,들꽃도서관,,500-170,062-526-3311,062-526-3311,광주 북구 운암동1011,newgoodhappy@hanmail.net,,,
129083,동산중앙작은도서관,,501-150,501-150,062-224-9191,광주 동구 지산동 314-13 2충,songjs0191@hanmail.net,,,
129084,꿈꾸는 아이들 작은도서관,,500-816,062-571-0008,062-575-9337,광주 북구 매곡동 337 용남빌딩 4층,young29sung@naver.com,,,
129085,꿈나무작은도서관(오치1동),,61122,062-410-8829,062-510-1542,광주광역시 북구 우치로274번길 48 (오치동),p820116@korea.kr,http://ochi1.bukgu.gwangju.kr,,
129086,좋은친구작은도서관,,503-844,062-654-5210,062-433-5210,광주 남구 진월동 433-5번지 3층,ohhyun5h@daum.net,http://cafe.daum.net/wenicefriend,,
129087,미래작은도서관(광주 남구),,503-310,062-431-7717,062-431-7717,광주 남구 주월동 514번지,jsk0526@hanmail.net,,,
129088,꿈이 커가는 봉선작은도서관,,503-815,062-430-4891,062-432-4892,광주 남구 봉선1동 936-5,candy655@naver.com,,,
129089,무지개지역문고,,503-310,062-651-6681,062-674-3908,광주 남구 주월동 941-14번지,ppa6681@hanmail.net,,,
129090,임동자치도서관,,500-010,062-410-8644,062-510-1525,광주 북구 임동 129-2(서림로 53),sominp@korea.kr,http://im.bukgu.gwangju.kr/,,
129091,세계로문고,,500-803,062-522-1673,062-521-1673,광주 북구 동림동 하남대로 681-8번지,kjinhwa333@nate.com,,,
129092,은빛마을도서관,,506-304,062-961-0601,062-961-0602,광주 광산구 수완동1486번지,homicbh@hanmail.net,,,
129093,에이스 문고,,500-140,062-575-7171,062-575-7171,광주 북구 삼각동 523번지 1층,keumjuch@hanmail.net,,,
129094,동림동작은도서관,,500-805,062-410-8703,062-510-1531,광주 북구 동림동 1156-3 동림동주민센터,ayh71@korea.kr,,,
129095,임동청소년문고,,500-010,062-528-0819,062-528-0819,광주 북구 임동 97-50,hssdk@hanmail.net,,35.1636893,126.8944902
129096,각화문고,,500-120,062-265-2525,062-265-2525,광주 북구 각화동 180-4,ygs14@daum.net,,,
129097,수완현진에버빌2단지 도서관,,506-251,062-953-3027,062-433-3027,광주 광산구 장덕동 1593번지,hwa0024@naver.com,,,
129098,꿈쟁이 작은도서관(광주),,503-060,062-676-1091,,광주 남구 봉선동 5번지 (다온유치원 3층),hwasam03@hanmail.net,,,
129099,아리솔 작은도서관,,502-765,062-457-5114,062-446-0201,광주 서구 금호동 종원팰리스빌 아리솔 작은도서관,dream6301@naver.com,,,
129100,신광작은도서관,,500-100,062-672-4209,,광주 북구 두암동 346-1,tjrghmoksa@naver.com,,35.1640151,126.9232535
129101,예수향기작은도서관,,500-816,010-8465-1357,062-432-3257,광주 북구 매곡동 320-2,sunhwan1357@hanmail.net,,35.1918263,126.89134076235058
129102,참터문고,,500-844,062-526-3689,062-528-7544,광주 북구 용봉동 1230-12,hsh5263689@naver.com,,35.1788215,126.900505
129103,광주북구문화동자치도서관,,500-120,062-410-8734,062-510-1534,광주 북구 각화동 224-12,pinkryric@korea.kr,,35.1894097,126.92896
129104,광주에덴교회문고,,500-835,062-432-5354,062-572-5354,광주 북구 연제동 42-3,skg21c@hanmail.net,,,
129105,송촌파인힐 작은도서관,,502-731,062-682-5667,062-456-5667,광주 서구 금호동 송촌아파트 작은도서관,song5667@hanmail.net,,,
129106,월산지역아동작은도서관,,503-829,062-351-1537,062-351-1538,광주 남구 월산4동 955~13,6831341@hanmail.net,,,
129107,신원작은도서관,,61133,062-262-2771,062-262-2783,"광주광역시 북구 문산로 27-6, 신원작은도서관 (문흥동)",ysj6622@hanmail.net,,,
129108,운암작은도서관,,500-170,062-524-9203,062-524-4279,광주 북구 금호로 53-2(494-7번지 1층),jso02270@hanmail.net,,,
129109,브니엘문고,,502-220,062-352-3927,062-352-3927,광주 서구 양동 439-86,wypark3927@hanmail.net,,35.144565799999995,126.88197216842971
129110,글마루 작은도서관(광주서구),,502-223,062-369-8072,062-369-8074,광주 서구 양3동 휴먼시아아파트 관리사무소3층,blacklist26@daum.net,,,
129111,기린작은도서관,,502-850,062-675-1055,,광주 서구 화정1동 775-8번지 2F,hjw4273@hanmail.net,,,
129112,계림두산위브 작은도서관,,501-750,062-227-0336,062-062-062,광주 동구 계림2동 52번지 두산위브아파트,seastar0811@nate.com,,,
129113,지혜의샘터작은도서관(화정4동),,502-839,062-373-0136,,광주 서구 화정4동 452번지 3층,ysmoon3556@naver.com,,,
129114,율곡 작은도서관(광주),,500-810,062-268-1219,,광주 북구 두암3동 288-36,sunsonamu@nate.com,,,
129115,버들도서관,,502-756,062-384-0600,,광주 서구 유촌동 버들주공2단지아파트 201-212,friend5781@hanmail.net,,,
129116,풀꽃동산작은도서관,,61445,010-4478-5452,062-226-9432,"광주광역시 동구 동명로110번길 14, 광주지산교회 (지산동)",dreamlnj@hanmail.net,,,
129117,석곡작은도서관,,500-500,062-265-5686,,광주 북구 망월동 577-15,manabone@hanmail.net,,,
129118,월산상록작은도서관,,503-829,062-653-0690,062-352-0690,광주 남구 월산4동 913-8,inqu10@hanmail.net,,,
129119,아이자람문고,,503-370,062-674-0526,062-676-1831,광주 남구 송하동 350-25,shinaewon@naver.com,,,
129120,모해작은도서관,,500-100,062-266-5004,,광주 북구 두암동 923-11번지,sb9314@hanmail.net,,,
129121,주나작은도서관,,500-844,062-512-6189,,광주 북구 용봉동 1242-2,chr6118@hanmail.net,,35.1788215,126.900505
129122,벧엘작은도서관,,500-040,062-528-1691,,광주 북구 중흥동 371-7 2층,vivid3927@hanmail.net,,,
129123,꿈나무도서관(광주),,500-040,062-264-9311,,광주 광역시  중흥동 270-1번지 3층,gim545@hanmail.net,,,
129124,문흥1자치도서관,,500-111,062-410-8744,,광주 북구 문흥1동 996-6 문흥1동 주민센터,p8008030@korea.kr,,,
129125,기아꿈터 어린이도서관,,,062-370-1811,,광주 서구 내방동 700-1 기아스포츠문화센터 3층,kimeunsooky@naver.com2009/10/8,,,
129126,새생명작은도서관,,500-210,062-572-3011,,광주 북구 본촌동 3046,yjg5027@hanmail.net,,35.2102506,126.8939593
129127,파란꿈작은도서관,,503-200,062-361-3777,062-419-0015,광주 남구 지석동 257-3,paran361@hanmail.net,,,
129128,친환경 도서관 버스,,61267,062-522-7252,062-513-8231,"광주광역시 북구 북문대로 151 사우디39빌딩,1층(친환경도서관버스)",sistb911@nate.com,.,,
129129,화정문고,,502-243,062-430-0988,,광주 서구 화정3동 332-14,thumbelina16@nate.com,,,
129130,탈무드도서관(양산동),,500-888,062-571-2919,062-575-2919,광주 북구 양산동 301~700,han0018@hanmail.net,,35.2102506,126.8939593
129131,광주북구운암도서관,,61103,062-410-6960,062-510-1587,광주광역시 북구 북문대로 118,limmj0215@korea.kr,https://lib.bukgu.gwangju.kr/main.do,35.1750881,126.8816367
129132,월화수문고,,503-806,062-673-1237,062-653-1236,광주 남구 백운동 휴먼시아3단지 관리동3층,kgkh66@hanmail.net,http://wws.hjy.or.kr,,
129133,방림2동작은도서관,,503-050,062-650-8234,,광주 남구 방림동 73-2,dmswn98@empal.com,,35.1430814,126.9154923
129134,양지작은도서관,,61663,062-673-1919,0505-506-1918,광주 남구 제중로 24-10(양림동 293-4),"yjbj@daum.net, yjbj@hanmail.net",http://www.yangjibokji.or.kr/,,
129135,우치작은도서관,,61054,062-381-9010,05041919010,"광주광역시 북구 우치로257번길 14, 1층 (오치동)",tuneson@naver.com,,,
129136,무진교육문화센터문고,,500-845,062-512-5159,062-521-5159,광주 북구 용봉동 1082,mujinch@hanmail.net,,35.1788215,126.900505
129137,가람문고,,500-130,070-7755-4028,062-267-4028,광주 북구 오치동 1035-8번지 2층,keumjuch@hanmail.net,http://cafe.daum.net/garam4028,,
129138,바람개비어린이도서관,,500-845,062-433-1279,,광주 북구 용봉동 1103 영암마트 2층,lkj9352@daum.net,,,
129139,매곡작은도서관,,500-815,062-571-1318,062-576-1316,광주 북구 매곡동 189 매곡프라자102호,css682@hanmail.net,,,
129140,강변문고,,500-811,010-526-4692,,광주 북구 두암1동 326-7번지 강변문고,sckim0407@hanmail.net,,,
129141,강아지똥어린이도서관,,502-881,062-515-9788,062-515-9787,광주 서구 동천동545번지 2층,hopenanum@hanmail.net,,,
129142,시냇가 작은도서관,,500-802,062-513-1009,062-716-2009,광주 북구 동림동 26-11,638hjk@hanmail.net,,35.1674452,126.8668893
129143,개똥벌레 어린이 도서관,,500-100,062-265-0197,,광주 북구 두암동851-25,jejadl119@hanmail.net,,,
129144,향기문고,,500-844,062-527-5184,062-529-2319,광주 북구 용봉동 1228-1,forestlim153@hanmail.net,,35.1788215,126.900505
129145,현진에버빌 작은도서관,,500-910,062-571-0822,062-573-7221,광주 북구 본촌동 현진에버빌아파트 (101~109동),doporee@hanmail.net,,,
129146,ESR작은도서관,,61062,062-574-0579,062-574-0566,"광주광역시 북구 설죽로315번길 9 (매곡동, 동남맨션) 2층",hwj9179@naver.com,,,
129147,밝은마음작은도서관,,500-170,062-521-5429,062-521-5429,광주 북구 운암동 140-11 중흥파크 1차상가 202호,sangseo8@hanmail.net,,,
129148,예향문고,,500-803,062-514-1006,062-514-1006,광주 북구 동림동 280-1,soul_star@hanmail.net,http://cafe.daum.net/jesusface,35.1878422,126.8628863
129149,늘푸른작은도서관(광주 서구),,502-708,062-371-7808,062-371-7808,광주 서구 동천동 동천마을주공1단지 주민복지관 2층,svf3717808@hanmail.net,,,
129150,콩세알작은도서관,,61087,062-430-8295,062-524-7970,"광주광역시 북구 첨단연신로 245, 관리동 2층 (신용동, 첨단휴먼시아)",yunjy1225@hanmail.net,,,
129151,아이꿈어린이도서관,,500-816,062-575-7724,062-574-0979,광주 북구 매곡동 106-11번지. 매화빌딩 201호. 아이꿈어린이도서관,fri712@hanmail.net,,,
129152,어울매작은도서관,,61195,062-228-8980,062-228-6991,"광주광역시 북구 동문대로 136, 3층 (두암동)",gjchambumo@hanmail.net,,,
129153,열린문작은도서관,,502-804,062-376-9948,062-376-9948,광주 서구 금호동 736-12,yang64@hanmail.net,,,
129154,월산5동작은도서관,,503-851,062-650-8710,,광주 남구 월산5동 1012-1,dmswn98@empal.com,,,
129155,단비어린이도서관,,500-839,062-264-4370,062-261-2141,광주 북구 오치2동 912-1,kwf25@childfund.or.kr,http://www.childfund-kwangju.or.kr,,
129156,주안작은도서관,,500-843,062-529-3162,062-433-3162,광주 북구 용봉동 370-2,lordinc@hanmail.net,,35.1788215,126.900505
129157,동이 트는 작은 도서관,,500-040,062-525-1691,062-269-1377,광주 북구 당뫼로12(중흥동),kjsbethel@hanmail.net,,,
129158,앰플작은도서관,,500-173,010-9638-6353,062-529-3441,광주 북구 운암3동 263-12번지,hhk68900@naver.com,,,
129159,건국동 자치도서관,,500-210,062-410-8854,062-510-1547,광주 북구 본촌동 378-1번지,teresada@korea.kr,http://geon-guk.bukgu.gwangju.kr/,,
129160,용봉주공 작은도서관,,500-750,062-575-0503,062-575-0501,광주 북구 매곡로 20 용봉동 용봉주공아파트 (101~108동),yongbong1461@naver.com,http://용봉주공.ma-um.co.kr,,
129161,은혜작은도서관,,500-110,062-266-6399,,광주 북구 문화소통로302번길 35(문흥동),s2695890@nate.com,,,
129162,빛고을두암문고,,500-103,062-269-1004,062-269-1007,광주 북구 삼정로 87번길,soo21000@hanmail.net,,,
129163,그리심 작은 도서관,,500-881,062-515-8209,062-523-0473,광주 북구 풍향동 600-2,dksgustlr@hanmail.net,,35.1670444,126.9106882
129164,행복한 작은 도서관(두암2동),,,062-264-3174,,광주 북구 두암2동 79번지,eungdap@hanmail.net,,,
129165,호르트작은도서관,,500-102,062-264-4875,062-264-2826,광주 북구 두암2동 76-6,woosans@hanmail.net,,,
129166,문흥골작은도서관,,500-110,062-262-6833,062-268-7827,광주 북구 문흥동 980-5,p54@hanmail.net,,,
129167,양산작은도서관,,500-200,062-574-8209,062-572-5207,광주 북구 연양로 43,jesusloveshyun@hanmail.net,,35.2066087,126.8748996
129168,책사랑 작은도서관(광주),,502-766,062-681-4377,062-681-4374,광주 서구 금호동 중흥아파트 관리사무소 2층,junsukhee@hanmail.net,,,
129169,무등작은도서관(광주),,62037,062-371-9991,062-371-9991,광주광역시 서구 월드컵4강로68번길 18 1층 무등작은도서관,seawul@hanmail.net,,,
129170,소꿉놀이장난감 작은 도서관,,502-769,062-375-7789,,광주 서구 금호동 시영3단지아파트 (301~308동) 상가2층 소꿉놀이 장난감 작은도서관,kkomo3945@hanmail.net,,,
129171,푸른길작은도서관,,503-300,070-4214-1813,062-674-1318,광주 남구 대남대로 162 푸른길공원 내(백운동 1289-1),"magic4801@naver.com, soosanghan@empas.com",cafe.daum.net/booksbom_pb,,
129172,구름다리작은도서관(광주),,506-773,062-971-7260,062-457-3075,광주 광산구 월계동 호반2차아파트 관리동2층,sak07@hanmail.net,,,
129173,파이디온작은도서관,,501-828,062-265-5616,062-236-0001,광주 동구 소태동909번지 2층(광주 동구 소태동 602-12),vkdleldhs5616@hanmail.net,,,
129174,물빛공원 작은도서관,,503-320,070-4406-1813,062-430-1319,광주 남구 노대동 865번지 물빛근린공원내,soosanghan@empas.com,,,
129175,우리들의쉼터 작은도서관,,502-260,062-367-3927,,광주 서구 쌍촌동 902-27,kysbethel@hanmail.net,,35.1647764,126.8543045
129176,꿈쟁이 도서관,,506-746,062-952-0752,,광주 광산구 신가동 신창6차호반베르디움아파트 (601~613동),entro77@naver.com,,,
129177,성덕작은도서관,,506-251,062-433-3907,,광주 광산구 장덕동 1086,chosue@naver.com,,35.195806,126.796971
129178,첨단빛누리 작은도서관,,62264,062-973-7707,062-973-7706,"광주광역시 광산구 월계로22번길 42, 2층 (월계동)",yhsmhu@hanmail.net,해당없음,,
129179,여성친화 휴도서관,,502-010,010-2728-2483,062-227-0903,광주 서구 동천동 558번지 2층,womengj@hanmail.net,,,
129180,푸른숲작은도서관(삼각동),,500-140,062-574-5117,062-574-5117,광주광역시 북구 삼각동 814-7,elim0675@hanmail.net,http://cafe.daum.net/greensop,,
129181,월광교회도서관,,502-839,062-375-4664,062-375-8187,광주 서구 화정4동 410~500,nugaba33@naver.com,,,
129182,푸른꿈문고,,500-100,062-529-4558,062-528-4558,광주 북구 두암동 895-2 2층 푸른꿈지역아동센터,sosansoo@naver.com,,,
129183,신용작은도서관,,500-773,062-574-2241,062-571-2241,광주 북구 신용동 신용주공아파트 관리사무소 2층,okloc@naver.com,,,
129184,꿈이 있는 작은도서관,,500-844,062-523-6723,,광주 북구 용봉동 1240-1,qw651028@naver.com,,35.1788215,126.900505
129185,용두작은도서관,,500-220,062-576-4183,,광주 북구 용두동334-5,imi515@naver.com,,,
129186,영락작은도서관,,500-210,010-3606-6623,062-572-0021,광주 북구 본촌동 3043,yiw6623@hanmail.net,,35.2102506,126.8939593
129187,흰구름어린이집도서관,,503-300,062-652-1319,062-652-1329,광주 남구 백운동 진다리로 6번가길 13,lkdc8247@hanmail.net,,,
129188,진월작은도서관,,503-330,,,광주 남구 서문대로 693번지(진월동),byullii@hanmail.net,http://blog.daum.net/jwlibrary,,
129189,학동두란노 작은도서관,,501-848,062-227-7677,062-227-7677,광주 동구 학2동 827∼879번지,ksj717171@hanmail.net,,,
129190,장덕도서관,,62226,062-960-3987,062-960-8289,광주광역시 광산구 풍영로 179,dragon07@korea.kr,lib.gwangsan.go.kr,35.1876313,126.81329264678418
