LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
142040,동내도서관,,200-882,033)245-5130,033)263-0179,강원도 춘천시 동내면 24-6,1,
142041,소양도서관,,24232,033-245-5140,033258-6632,"강원도 춘천시 삭주로145번길 69-8, 소양도서관 (후평동)",k@korea.kr,https://library.chuncheon.go.kr/home.do
142042,평창군립대화도서관,,25358,033-330-2817,033-330-2588,강원도 평창군 대화면 남산2길 27,pym0128@korea.kr,
142043,신사우도서관,,24226,033-254-3887,033-255-1069,강원도 춘천시 사우4길 26,nbbi78@hanmail.net,library.chuncheon.go.kr
142044,주천도서관,,230-854,033-370-2778,033-370-2540,강원 영월군 주천면 주천리 1243-1번지,tjdus2000@hanmail.net,
142045,서면도서관(가칭-춘천시립도서관분관),,200-200,033-254-3887,033-255-1069,강원 춘천시 삼천동 도서관길 30,hym8095@chuncheon.go.kr,
142046,관전도서관,,269-821,033-450-5227,033-450-5587,강원 철원군 철원읍 화지리 693,libe1077@cheorwon.go.kr,
142047,토성공공도서관,,24764,033-680-3561,,강원도 고성군 토성면 토성로 167-6,a8318a@korea.kr,
142048,눈마을 작은도서관,,232-954,033-336-3618,033-330-2549,강원 평창군 대관령면 횡계리 335-1,tosa20@hanmail.net,http://cafe.daum.net/nunmauldoseosil/
142049,원통도서관,,252-822,033-460-2081,,강원 인제군 북면 원통리 661-12번지,pcsfolk@korea.kr,
142050,담작은도서관,,24336,033-256-6363,033-256-6383,강원도 춘천시 효자문길7번길 10 (효자동),damlibrary@naver.com,http://dam.ilib.co.kr
142051,무릉작은도서관,,240-340,033-534-8811,033-534-8811,강원 동해시 이로동 183번지,ksungwoon@korea.kr,http://donghaelib.go.kr
142052,영랑작은도서관ⓧ,,217-010,033-631-3321,,강원 속초시 영랑동 196-1,sokchoisc@korea.kr,
142053,청봉작은도서관,,217-813,033-631-3341,,강원 속초시 조양동 1540-2,mansegmj@korea.kr,
142054,금계 작은도서관,,225-874,033-342-2121,,강원 횡성군 공근면 학담리 880-6,gpdjd@hsg.go.kr,
142055,횡성 느티나무 작은도서관,,25224,033-345-2601,,강원도 횡성군 횡성읍 태기로 85,gpdjd@hsg.go.kr,
142056,이도작은도서관,,240-290,033-521-4587,033-530-2842,강원 동해시 이도동 252번지 2층,ksungwoon@korea.kr,http://www.donghaelib.go.kr
142057,등대작은도서관,,240-050,033-535-6452,033-535-6453,강원 동해시 묵호진동 1-44 묵호동주민센터 2층,ksungwoon@korea.kr,http://www.donghaelib.go.kr
142058,원주시립도서관 태장도서관,,220-939,033-737-4485,033-737-4842,강원 원주시 현충로 53번지,adminlib@iwonju.kr,http://lib.wonju.go.kr
142059,모루도서관,,210-100,033-660-3274,033-640-4760,강원 강릉시 교동 822번지,happydoli@korea.kr,www.gnslib.or.kr
142060,솔올꿈나무작은도서관,,210-100,033-640-4308,,강원 강릉시 교동 하슬라로 173,namreem@korea.kr,http://www.gnslib.or.kr
142061,성덕반딧불작은도서관,,210-250,033-640-4488,,강원 강릉시 입암동 632,namreem@korea.kr,http://www.gnslib.or.kr
142062,로하스강릉작은도서관,,210-703,033-640-5881,,강원 강릉시 홍제동 강릉시청 18층,namreem@korea.kr,http://www.gnslib.or.kr
142063,어울림작은도서관(강릉시),,210-110,033-640-4958,,강원 강릉시 포남동 1005-367,namreem@korea.kr,http://www.gnslib.or.kr
142064,문화작은도서관,,210-010,033-640-4959,,강원 강릉시 홍제동 15-2,namreem@korea.kr,http://www.gnslib.or.kr
142065,남산작은도서관,,210-160,033-640-4964,,강원 강릉시 내곡동 123-8,namreem@korea.kr,http://www.gnslib.or.kr
142066,하슬라작은도서관,,210-100,033-645-0054,,강원 강릉시 교동 723-5,namreem@korea.kr,http://www.gnslib.or.kr
142067,성남시장작은도서관,,210-050,033-640-4958,,강원 강릉시 성남동 53-8,namreem@korea.kr,http://www.gnslib.or.kr
142068,강릉관아작은도서관,,210-030,033-640-4851,,강원 강릉시 명주동 38-1,namreem@korea.kr,http://www.gnslib.or.kr
142069,행복한 문고,,232-951,033-336-8113,033-336-8113,강원 평창군 대관령면 횡계5리 270-18,lsu153@hanmail.net,
142070,햇살도서관(태백),,235-030,070-8231-0778,033-554-0778,강원 태백시 소도동 7-2,donerfriend@hanmail.net,
142071,여행자의노래도서관,,230-805,033-373-4174,033-373-4174,강원 영월군 영월읍 영흥리 955-5,okmishin@hanmail.net,http://traveler.winbook.kr
142072,기린공공도서관,,252-840,033-460-2081,033-460-2089,강원 인제군 기린면 기린로 42번길 17,akak70@korea.kr,
142073,행복한문고(태백),,26020,033-553-2356,033-552-6532,강원도 태백시 황지로 77-1,topaidi@hanmail.net,
142074,철암도서관,,235-200,033-581-7701,,강원 태백시 철암동 354-62 피내골길 23,i-kdc@hanmail.net,http://cholam.org
142075,동점마을도서관,,235-210,033-582-7383,033-582-9371,강원 태백시 동점동 72-4번지,w3733@naver.com,
142076,쁘레네 작은도서관 별찌 2호,,220-180,033-765-2260,033-765-2263,강원 원주시 관설동 치악고교길 30-12,hkn2266@nate.com,http://cafe.naver.com/frenelib
142077,쁘레네 작은도서관 별찌 3호,,220-040,033-765-2260,033-765-2263,강원 원주시 명륜동 남원로 592 4층,carrotyuni@nate.com,http://cafe.naver.com/frenelib
142078,옥거리작은도서관,,210-933,033-660-3262,033-640-4760,강원 강릉시 옥천동 136번지,jjsy03@hanmail.net,http://www.gnslib.or.kr
142079,서화공공도서관,,252-710,033-460-2081,033-460-2089,강원 인제군 서화면 천도리 585-10번지,akak70@korea.kr,
142080,꿈을 담은 도서관,,230-884,033-374-1365,,강원 영월군 영월읍 팔괴리 1136,lsj1365@hanmail.net,
142081,앞짱어린이도서관(춘천시 사립 작은도서관),,200-762,033-253-1592,,강원 춘천시 퇴계동 주공6차아파트 관리동 2층,ilot01@korea.kr,
142082,뒤뚜르어린이도서관 (춘천시 사립 작은도서관),,200-963,070-8237-8754,,강원 춘천시 후평3동 875-12 1층,ilot01@korea.kr,
142083,스무숲도서관 (춘천시 사립 작은도서관),,200-972,033-257-4863,,강원 춘천시 석사동 893 현진에버빌1차아파트 관리동 2층,ilot01@korea.kr,
142084,뜨란채도서관 (춘천시 사립 작은도서관),,200-965,070-8872-0023,,강원 춘천시 퇴계동 1031 뜨란채아파트 관리동 1층,ilot01@korea.kr,
142085,반올림도서관 (춘천시 사립 작은도서관),,200-781,033-252-3654,,강원 춘천시 후평2동 포스코더샵아파트 102동 3-6라인 1층,ilot01@korea.kr,
142086,책날개어린이도서관 (춘천시 사립 작은도서관),,200-776,033-254-1401,,강원 춘천시 석사동 현진에버빌2차아파트 관리동 2층,ilot01@korea.kr,
142087,달팽이도서관 (춘천시 사립 작은도서관),,200-761,070-4111-3122,,강원 춘천시 석사동 퇴계주공4단지아파트 (401~413동),ilot01@korea.kr,
142088,로뎀나무문고 (춘천시 사립 작은도서관),,200-943,033-241-8083,,강원 춘천시 퇴계동 11지구 24블럭 5롯트 춘천사랑의교회,ilot01@korea.kr,
142089,동해교육도서관,,25736,033-533-6604,,강원도 동해시 부곡5길 22,hyoga4029@korea.kr,http://lib.gwe.go.kr/donglib/egovMain.do
142090,봉산샘터작은도서관,,220-080,033-732-1091,033-747-6785,강원 원주시 봉산동 937-6(봉산동 현석길 52번지),"lbe1492@korea.kr, rooth7@daum.com",
142091,느티나무작은도서관,,220-960,070-7712-9108,,강원 원주시 태장2동 546-47,lbe1492@korea.kr,
142092,너울문화사랑방작은도서관,,220-763,033-764-6422,033-764-6423,강원 원주시 개운동 현대아파트 관리사무소 내(강원도 원주시 남원로612번길 9  (개운동，개운현대아파트)),kh6422@hanmail.net,
142093,영재작은도서관,,220-160,033-734-1135,,강원 원주시 행구동 1610-1 영강교회 내,lbe1492@korea.kr,
142094,예꿈터작은도서관,,220-935,033-732-8896,,강원 원주시 단계동 123-33,lbe1492@korea.kr,
142095,흥업작은도서관,,220-844,033-762-3054,,강원 원주시 흥업면 흥업리 467-3,lbe1492@korea.kr,
142096,상록작은도서관,,220-961,033-735-8381,,강원 원주시 태장2동 973-21,lbe1492@korea.kr,
142097,평창군립봉평도서관,,25303,033-330-2824,,강원도 평창군 봉평면 기풍4길 10,fldkpc0305@korea.kr,lib.happy700.or.kr/
142098,송청2리새마을문고,,255-804,033-480-2266,033-480-2323,강원 양구군 양구읍 송청2리 마을회관(송청2리새마을문고),5kiskyo@naver.com,http://www.yacggu.go.kr
142099,새마을작은도서관,,200-114,033-256-8279,033-253-3816,강원 춘천시 가연길5번길 15 춘천시새마을회 (소양로4가),withcatcher@naver.com,http://www.saemaul.com
142100,쁘레네 작은도서관 별찌 13호 - 춘천,,200-933,033-264-0591,033-263-0593,강원 춘천시 석사동 822-2 형인빌딩 202호,2hyesung@naver.com,http://cafe.naver.com/frenelib
142101,쁘레네 작은도서관 별찌 14호 - 강릉,,210-924,033-643-1494,033-643-0532,강원 강릉시 교1동 1824-1,2hyesung@naver.com,http://cafe.naver.com/frenelib
142102,남양작은도서관,,245-701,033-570-3224,033-570-3132,강원도 삼척시 중앙로 296 (교동),4140kwc@korea.kr,
142103,연봉도서관,,25143,033-430-2419,033-430-2449,"강원도 홍천군 홍천읍 연봉중앙로 11-10, 홍천 연봉도서관",hwi0324@korea.kr,http://library.hongcheon.gangwon.kr
142104,횡성군립도서관,,25236,033-340-5861,033-340-2552,강원도 횡성군 횡성읍 문예로 75,hero4@korea.kr,lib.hsg.go.kr/
142105,월담작은도서관,,26229,033-372-9123,033-372-9126,영월군 영월읍 중리1길 10,mallani@hanmail.net,http://www.yw.go.kr
142106,속초시립도서관,,217-811,033-639-3720,033-631-7223,강원도 속초시 조양로 89 속초시립도서관 (조양동),sokchoisc@korea.kr,library.sokcho.go.kr
142107,중천철학도서관,,220-844,033-737-4476,033-737-4997,강원도 원주시 남원로 105,longhohp@korea.kr,lib.wonju.go.kr/jc
142108,둔내태성도서관,,25265,033-340-5865,033-340-2552,"강원도 횡성군 둔내면 둔방로 4번길 38, 둔내태성도서관",clair71@korea.kr,lib.hsg.go.kr/library/
142109,인제군 군립 도서관,,24613,033-461-0089,,강원도 인제군 북면 금강로 62 2층 원통도서관,chicory10@hanmail.net,
142110,춘천시립청소년도서관,,24428,033-245-5131,033-254-2294,강원도 춘천시 옛경춘로 830-24 춘천시립도서관,nbbi78@korea.kr,www.iccl.or.kr
142111,화천어린이도서관,,24121,0334420078,,강원도 화천군 화천읍 상승로1길 9 화천어린이도서관,qna101@korea.kr,hclib.or.kr
142112,태백 산소드림 도서관,,26025,033-550-3948,033-550-2949,강원도 태백시 장수길 33,booki@taebaek.net,tbmlib.or.kr
142113,사내도서관,,24154,033-441-7870,,강원도 화천군 사내면 수피령로 75 사내도서관,qna101@korea.kr,
142114,양구군 행정자료관,,24522,033-481-2191,,강원도 양구군 양구읍 관공서로 38 자치행정과,chaosflame@korea.kr,http://www.yanggu.go.kr/
142115,평창군립 대관령도서관,,25344,033-330-2845,033-335-2844,강원도 평창군 대관령면 대관령로 83-2 (횡계리 산334-39),2007cjh@korea.kr,
142116,홍천 서석도서관,,25166,010-9556-8314,033-430-2449,"강원도 홍천군 서석면 풍암길 7, 서석도서관",hwi0324@korea.kr,
142117,1101공병단 153대대 병영도서관,,26309,033-740-4910,,강원도 소초면 수암리 2431 사서함 502-26호,fohenz7949@naver.com,
142118,미리내도서관,,26464,033-737-2832,--,"강원도 원주시 양지로 36, 미리내도서관 (반곡동)",inkyos1234@korea.kr,
142119,남면 도서관,,25108,033-430-2415,033-430-2449,"강원도 홍천군 남면 명덕길 28, 남면도서관",hhy0624@korea.kr,
142120,인제 기적의도서관,,24633,033-460-2085,,강원도 인제군 인제읍 인제로140번길 52-7 인제 기적의도서관,eunji5079@korea.kr,
